line;group;nominal;scenario 1;scenario 2
prob;;;0.4;0.6
objective;;56656.59000000001;62868.54999999999;69750.27999999998
cost_time;;55952.37000000001;61744.130000000005;68240.66
cost_wait;;0.0;0.0;0.0
cost_oper;;704.22;787.5200000000001;896.92
cost_repl;;;336.90000000000003;612.7
0;1;5;0.0;8.0
1;1;5;0.0;8.0
2;2;5;6.0;0.0
3;2;5;6.0;0.0
4;3;3;6.0;4.0
5;3;3;6.0;4.0
6;4;5;6.0;6.0
7;4;5;6.0;6.0
8;5;3;4.0;6.0
9;5;3;4.0;6.0
10;6;3;4.0;3.0
11;6;3;4.0;3.0
12;7;0;0.0;2.0
13;7;0;0.0;2.0
14;8;3;4.0;0.0
15;8;3;4.0;0.0
16;9;5;6.0;6.0
17;9;5;6.0;6.0
18;10;3;0.0;0.0
19;10;3;0.0;0.0
20;11;1;2.0;4.0
21;11;1;2.0;4.0
22;12;1;1.0;5.0
23;12;1;1.0;5.0
24;13;1;2.0;0.0
25;13;1;2.0;0.0
26;14;3;4.0;6.0
27;14;3;4.0;6.0
