line;group;nominal;scenario 1;scenario 2
prob;;;0.4;0.6
objective;;56712.31999999999;62888.04999999997;69491.92000000006
cost_time;;55942.799999999996;61744.12999999997;68252.08000000006
cost_wait;;0.0;0.0;0.0
cost_oper;;769.52;787.5200000000001;895.4799999999998
cost_repl;;;356.40000000000003;344.36
0;1;8;0.0;8.0
1;1;8;0.0;8.0
2;2;5;6.0;0.0
3;2;5;6.0;0.0
4;3;3;6.0;4.0
5;3;3;6.0;4.0
6;4;7;6.0;7.0
7;4;7;6.0;7.0
8;5;4;4.0;6.0
9;5;4;4.0;6.0
10;6;3;4.0;3.0
11;6;3;4.0;3.0
12;7;0;0.0;2.0
13;7;0;0.0;2.0
14;8;0;4.0;0.0
15;8;0;4.0;0.0
16;9;5;6.0;6.0
17;9;5;6.0;6.0
18;10;0;0.0;0.0
19;10;0;0.0;0.0
20;11;2;2.0;3.0
21;11;2;2.0;3.0
22;12;2;1.0;5.0
23;12;2;1.0;5.0
24;13;1;2.0;0.0
25;13;1;2.0;0.0
26;14;4;4.0;6.0
27;14;4;4.0;6.0
