edge_id;edge_len;flow_total;flow_line_0;flow_line_1;flow_line_2;flow_line_3;flow_line_4;flow_line_5;flow_line_6;flow_line_7;flow_line_8;flow_line_9;flow_line_10;flow_line_11;flow_line_12;flow_line_13;flow_line_16;flow_line_17;flow_line_18;flow_line_19;flow_line_24;flow_line_25;flow_line_26;flow_line_27
44;2.6;120.79000000000002;0.0;0.0;0.0;0.0;0.0;0.0;83.29000000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.5;0.0;0.0;0.0;0.0;0.0
45;2.6;150.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;113.36999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.5;0.0;0.0;0.0;0.0
46;1.8;37.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.5;0.0
47;1.8;35.339999999999925;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.339999999999925
48;1.2;225.0;0.0;0.0;0.0;0.0;0.0;0.0;187.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.5;0.0;0.0;0.0;0.0;0.0
49;1.2;70.49000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.49000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50;2.0;57.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.380000000000003;37.5;0.0
51;2.0;27.52999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.36;0.0;0.0;0.0;0.0;0.0;14.169999999999959
52;1.2;78.49000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.010000000000005;0.0;0.0;0.0
54;1.2;104.56999999999991;0.0;0.0;104.56999999999991;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
55;1.2;134.17000000000002;0.0;0.0;0.0;134.17000000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56;2.0;46.67999999999999;0.0;0.0;0.0;46.67999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
57;2.0;243.51000000000002;0.0;93.51000000000002;150.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
59;1.4;236.77999999999997;0.0;0.0;0.0;159.17999999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.5;40.10000000000002;0.0
6;1.6;218.53;0.0;0.0;0.0;0.0;31.03;0.0;187.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
63;2.8;146.10999999999996;0.0;0.0;0.0;146.10999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
64;2.0;36.71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
65;2.0;47.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
68;1.6;49.999999999999986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.999999999999986;0.0;0.0
70;1.8;79.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;79.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
71;1.8;43.269999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.269999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
72;1.8;29.490000000000013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.490000000000013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
73;1.8;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75;1.6;189.19000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;189.19000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
