array_job_id;task_id;run_group_id;case_k;case_per_run;case_variants;case_selection;case_p_fail;case_id;case_sweep_row;case_variant_idx;case_edges;case_lines;WS;RP;EEV_nom;EEV_mean;EVPI;VSS_nom;VSS_mean;procedures_present
12213011;0;g_000;1;1;100;line_consecutive;0.5;1000;0;0;11-12;1,7,8;51140.23999995939;51140.24000000001;51140.23999999839;51140.23999999839;4.0621671359986073e-08;-1.622538547962904e-09;-1.622538547962904e-09;eev,integrated,separated,ws
12213011;1;g_000;1;1;100;line_consecutive;0.5;1001;0;1;10-11;1,7,10;52734.39;53053.34;53432.83499999839;53432.83499999839;318.9499999999971;379.4949999983946;379.4949999983946;eev,integrated,separated,ws
12213011;2;g_000;1;1;100;line_consecutive;0.5;1002;0;2;10-16;1,10;54841.905;55396.175;56078.2449999984;56078.2449999984;554.2700000000041;682.069999998399;682.069999998399;eev,integrated,separated,ws
12213011;3;g_000;1;1;100;line_consecutive;0.5;1003;0;3;16-18;1;51792.595;51792.595000000016;51792.59499999839;51792.59499999839;1.4551915228366852e-11;-1.622538547962904e-09;-1.622538547962904e-09;eev,integrated,separated,ws
12213011;4;g_000;1;1;100;line_consecutive;0.5;1004;0;4;2-6;2;55715.63;56294.27999999999;57293.02999999839;57293.0299999984;578.6499999999942;998.7499999983992;998.7499999984066;eev,integrated,separated,ws
12213011;5;g_000;1;1;100;line_consecutive;0.5;1005;0;5;6-8;2;51271.23999999541;51402.240000000005;52420.23999999839;52420.23999999839;131.0000000045984;1017.9999999983849;1017.9999999983849;eev,integrated,separated,ws
12213011;6;g_000;1;1;100;line_consecutive;0.5;1006;0;6;8-16;2,10,13;54286.7;55198.02999992916;55588.29499999839;55588.2949999984;911.329999929163;390.26500006923015;390.26500006923743;eev,integrated,separated,ws
12213011;7;g_000;1;1;100;line_consecutive;0.5;1007;0;7;16-17;2,13;55715.63;56294.27999999999;57293.02999999839;57293.0299999984;578.6499999999942;998.7499999983992;998.7499999984066;eev,integrated,separated,ws
12213011;8;g_000;1;1;100;line_consecutive;0.5;1008;0;8;17-19;2,13,14;51792.595;51792.595000000016;51792.59499999839;51792.59499999839;1.4551915228366852e-11;-1.622538547962904e-09;-1.622538547962904e-09;eev,integrated,separated,ws
12213011;9;g_000;1;1;100;line_consecutive;0.5;1009;0;9;19-20;2;51307.5;51474.76;51600.3699999984;51600.3699999984;167.26000000000204;125.60999999839989;125.60999999839989;eev,integrated,separated,ws
12213011;10;g_000;1;1;100;line_consecutive;0.5;1010;0;10;3-4;3,4;56436.240000000005;57344.130000000005;57945.2149999984;57889.19;907.8899999999994;601.0849999983984;545.0599999999977;eev,integrated,separated,ws
12213011;11;g_000;1;1;100;line_consecutive;0.5;1011;0;11;4-5;3;57174.70999999999;58215.33000000001;58779.639999998384;58779.63999999839;1040.6200000000172;564.3099999983751;564.3099999983824;eev,integrated,separated,ws
12213011;12;g_000;1;1;100;line_consecutive;0.5;1012;0;12;5-9;3,9;57520.875;58598.405000000006;59162.71499999838;59162.71499999839;1077.530000000006;564.3099999983751;564.3099999983824;eev,integrated,separated,ws
12213011;13;g_000;1;1;100;line_consecutive;0.5;1013;0;13;8-9;3,7;51140.23999999874;51140.240000000005;51140.23999999839;51140.2399999984;1.266016624867916e-09;-1.6152625903487206e-09;-1.6079866327345371e-09;eev,integrated,separated,ws
12213011;14;g_000;1;1;100;line_consecutive;0.5;1014;0;14;7-8;3,7,11;51402.16;51664.08000000001;51710.22499999839;51710.22499999838;261.9200000000056;46.144999998381536;46.14499999837426;eev,integrated,separated,ws
12213011;15;g_000;1;1;100;line_consecutive;0.5;1015;0;15;7-18;3,11;52049.83500000001;52180.835000000014;53427.95499999839;53427.9549999984;131.00000000000728;1247.1199999983728;1247.1199999983874;eev,integrated,separated,ws
12213011;16;g_000;1;1;100;line_consecutive;0.5;1016;0;16;1-3;4,8,12;54286.7;55198.02999992916;55588.29499999839;55588.2949999984;911.329999929163;390.26500006923015;390.26500006923743;eev,integrated,separated,ws
12213011;17;g_000;1;1;100;line_consecutive;0.5;1017;0;17;4-11;4;51271.23999999541;51402.240000000005;52420.23999999839;52420.23999999839;131.0000000045984;1017.9999999983849;1017.9999999983849;eev,integrated,separated,ws
12213011;18;g_000;1;1;100;line_consecutive;0.5;1018;0;18;11-14;4,8,10;51140.23999999999;51140.24000000001;51140.23999999839;51140.23999999839;2.182787284255028e-11;-1.622538547962904e-09;-1.622538547962904e-09;eev,integrated,separated,ws
12213011;19;g_000;1;1;100;line_consecutive;0.5;1019;0;19;14-23;4,10;51140.24;51140.24000000485;51140.23999998507;51140.23999998508;4.853063728660345e-09;-1.9783328752964732e-08;-1.9768776837736368e-08;eev,integrated,separated,ws
12213011;20;g_000;1;1;100;line_consecutive;0.5;1020;0;20;23-24;4;55473.42;56713.88000000002;58023.90499999839;58023.90499703081;1240.460000000021;1310.0249999983716;1310.0249970307923;eev,integrated,separated,ws
12213011;21;g_000;1;1;100;line_consecutive;0.5;1021;0;21;10-15;5,9;53377.605;54149.60500000002;55900.32999999838;55900.32999999839;772.0000000000146;1750.7249999983617;1750.7249999983687;eev,integrated,separated,ws
12213011;22;g_000;1;1;100;line_consecutive;0.5;1022;0;22;15-22;5,13;51773.55;52406.859999992805;52726.58999999839;52726.5899999984;633.3099999928017;319.73000000558386;319.7300000055984;eev,integrated,separated,ws
12213011;23;g_000;1;1;100;line_consecutive;0.5;1023;0;23;22-23;5;51307.5;51474.76;51600.3699999984;51600.3699999984;167.26000000000204;125.60999999839989;125.60999999839989;eev,integrated,separated,ws
12213011;24;g_000;1;1;100;line_consecutive;0.5;1024;0;24;13-24;6;57174.70999999999;58215.33000000001;58779.639999998384;58779.63999999839;1040.6200000000172;564.3099999983751;564.3099999983824;eev,integrated,separated,ws
12213011;25;g_000;1;1;100;line_consecutive;0.5;1025;0;25;21-24;6;51307.5;51474.76;51600.3699999984;51600.3699999984;167.26000000000204;125.60999999839989;125.60999999839989;eev,integrated,separated,ws
12213011;26;g_000;1;1;100;line_consecutive;0.5;1026;0;26;20-21;6;51140.23999999999;51140.24000000001;51140.23999999839;51140.23999999839;2.182787284255028e-11;-1.622538547962904e-09;-1.622538547962904e-09;eev,integrated,separated,ws
12213011;27;g_000;1;1;100;line_consecutive;0.5;1027;0;27;9-10;7,9;51271.23999999541;51402.240000000005;52420.23999999839;52420.23999999839;131.0000000045984;1017.9999999983849;1017.9999999983849;eev,integrated,separated,ws
12213011;28;g_000;1;1;100;line_consecutive;0.5;1028;0;28;3-12;8,12;60308.675;60993.63499999944;61877.76999999839;61414.10544037583;684.9599999994389;884.134999998947;420.4704403763899;eev,integrated,separated,ws
12213011;29;g_000;1;1;100;line_consecutive;0.5;1029;0;29;5-6;9;51140.24000000012;51140.24000000001;51140.23999998155;51140.23999998155;-1.0913936421275139e-10;-1.845910446718335e-08;-1.845910446718335e-08;eev,integrated,separated,ws
12213011;30;g_000;1;1;100;line_consecutive;0.5;1030;0;30;15-19;9,13,14;51773.55;52406.859999992805;52726.58999999839;52726.5899999984;633.3099999928017;319.73000000558386;319.7300000055984;eev,integrated,separated,ws
12213011;31;g_000;1;1;100;line_consecutive;0.5;1031;0;31;20-22;11;51140.23999999999;51140.24000002087;51140.23999999839;51140.2399999984;2.0881998352706432e-08;-2.2482709027826783e-08;-2.2475433070212606e-08;eev,integrated,separated,ws
12213011;32;g_000;1;1;100;line_consecutive;0.5;1032;0;32;18-20;11;51271.23999999945;51402.240000000005;52420.23999999839;52420.239999998405;131.00000000055297;1017.9999999983849;1017.9999999983992;eev,integrated,separated,ws
12213011;33;g_000;1;1;100;line_consecutive;0.5;1033;0;33;12-13;12;51140.23999999999;51140.24000000001;51140.23999999839;51140.23999999839;2.182787284255028e-11;-1.622538547962904e-09;-1.622538547962904e-09;eev,integrated,separated,ws
12213011;34;g_000;1;1;100;line_consecutive;0.5;1034;0;34;1-2;12;55805.34999999551;56860.90999999957;57296.33499999839;57296.3349999984;1055.5600000040577;435.4249999988242;435.4249999988315;eev,integrated,separated,ws
12213011;35;g_000;1;1;100;line_consecutive;0.5;1035;0;35;21-22;13;54286.7;55198.02999992916;55588.29499999839;55588.2949999984;911.329999929163;390.26500006923015;390.26500006923743;eev,integrated,separated,ws
12213011;36;g_000;1;1;100;line_consecutive;0.5;1036;0;36;14-15;14;51140.24000000012;51140.24000000001;51140.23999998155;51140.23999998155;-1.0913936421275139e-10;-1.845910446718335e-08;-1.845910446718335e-08;eev,integrated,separated,ws
12213011;37;g_000;1;1;100;line_consecutive;0.5;1037;0;37;10-17;14;55805.34999999551;56860.90999999957;57296.33499999839;57296.3349999984;1055.5600000040577;435.4249999988242;435.4249999988315;eev,integrated,separated,ws
