line;group;nominal;scenario 1;scenario 2
prob;;;0.4;0.6
objective;;62959.33;75873.71999999545;83879.77000000002
cost_time;;21095.630000000005;26468.059999999594;29179.570000000018
cost_wait;;23930.7;29383.399999995858;30013.800000000003
cost_oper;;358.6600000000001;396.52000000000004;485.26
cost_repl;;;196.26000000000002;423.40000000000003
0;1;3;0.0;6.0
1;1;3;0.0;6.0
2;2;5;5.0;0.0
3;2;5;5.0;0.0
4;3;0;3.0;1.0
5;3;0;3.0;1.0
6;4;4;4.0;3.0
7;4;4;4.0;3.0
8;5;1;2.0;2.0
9;5;1;2.0;2.0
10;6;2;2.0;2.0
11;6;2;2.0;2.0
12;7;1;0.0;1.0
13;7;1;0.0;1.0
14;8;0;2.0;0.0
15;8;0;2.0;0.0
16;9;2;2.0;4.0
17;9;2;2.0;4.0
18;10;1;0.0;0.0
19;10;1;0.0;0.0
20;11;0;0.0;2.0
21;11;0;0.0;2.0
22;12;0;0.0;3.0
23;12;0;0.0;3.0
24;13;1;1.0;0.0
25;13;1;1.0;0.0
26;14;1;2.0;3.0
27;14;1;2.0;3.0
