line;group;nominal;scenario 1;scenario 2
prob;;;0.4;0.6
objective;;56312.29999999999;67721.91;76709.22
cost_time;;18590.699999999993;23210.590000000007;25775.960000000006
cost_wait;;21708.6;26714.999999999996;27394.700000000008
cost_oper;;320.26;351.98;462.2199999999999
cost_repl;;;197.32000000000002;427.56
0;1;2;0.0;6.0
1;1;2;0.0;6.0
2;2;5;4.0;0.0
3;2;5;4.0;0.0
4;3;0;2.0;1.0
5;3;0;2.0;1.0
6;4;3;3.0;3.0
7;4;3;3.0;3.0
8;5;1;2.0;2.0
9;5;1;2.0;2.0
10;6;2;2.0;2.0
11;6;2;2.0;2.0
12;7;1;0.0;1.0
13;7;1;0.0;1.0
14;8;1;2.0;0.0
15;8;1;2.0;0.0
16;9;1;2.0;4.0
17;9;1;2.0;4.0
18;10;1;0.0;0.0
19;10;1;0.0;0.0
20;11;0;0.0;1.0
21;11;0;0.0;1.0
22;12;0;0.0;3.0
23;12;0;0.0;3.0
24;13;1;1.0;0.0
25;13;1;1.0;0.0
26;14;1;3.0;3.0
27;14;1;3.0;3.0
