line;group;nominal;scenario 1;scenario 2
prob;;;0.4;0.6
objective;;13949.090000000002;17496.91;20853.670000000006
cost_time;;13632.170000000002;17076.79;20078.950000000004
cost_wait;;0.0;0.0;0.0
cost_oper;;316.91999999999996;309.32;453.81999999999994
cost_repl;;;110.80000000000001;320.90000000000003
0;1;4;0.0;5.0
1;1;4;0.0;5.0
2;2;5;5.0;0.0
3;2;5;5.0;0.0
4;3;1;2.0;1.0
5;3;1;2.0;1.0
6;4;3;3.0;3.0
7;4;3;3.0;3.0
8;5;2;2.0;2.0
9;5;2;2.0;2.0
10;6;1;1.0;1.0
11;6;1;1.0;1.0
12;7;0;0.0;2.0
13;7;0;0.0;2.0
14;8;0;2.0;0.0
15;8;0;2.0;0.0
16;9;1;1.0;4.0
17;9;1;1.0;4.0
18;10;0;0.0;0.0
19;10;0;0.0;0.0
20;11;0;0.0;1.0
21;11;0;0.0;1.0
22;12;0;0.0;3.0
23;12;0;0.0;3.0
24;13;0;0.0;0.0
25;13;0;0.0;0.0
26;14;2;2.0;3.0
27;14;2;2.0;3.0
