source;network;scenario_line_data;procedure;routing_agg;waiting_time_frequency;gap;time_limit;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;cost_repl_freq;cost_repl_line;repl_budget;bypass_multiplier;overdemand_threshold;overdemand_multiplier;num_od;train_capacity;infrastructure_capacity;max_frequency;status_code;status;objective;runtime_s;cost_time;cost_time_base;cost_time_over;cost_bypass;cost_wait;cost_oper;obj_stage1;obj_stage2_exp;repl_cost_freq_exp;repl_cost_path_exp;repl_cost_exp
lintim;SiouxFalls;SiouxFalls;integrated;True;False;0;3600;1;2;20;100;400;-5;-1;0.75;2;10;50;10;10;2;OPTIMAL;21696.992001714832;22.676000118255615;9051.60800122488;8610.09200122488;441.51600000000013;0.0;2548.584000489952;7808.799999999999;9341.920000000002;12355.07200171483;2288.0;0.0;2288.0
lintim;SiouxFalls;SiouxFalls;separated;True;False;0;3600;1;2;20;100;400;-5;-1;0.75;2;10;50;10;10;2;OPTIMAL;25005.352000000003;0.07999992370605469;7752.204000000001;7185.732;566.4720000000001;0.0;2264.668;5266.08;6781.860000000001;18223.492000000002;6650.4;3072.0;9722.4
lintim;SiouxFalls;SiouxFalls;one_stage;True;False;0;3600;1;2;20;100;400;-5;-1;0.75;2;10;50;10;10;2;OPTIMAL;6781.860000000001;0.0839998722076416;3268.38;3043.4900000000002;224.89;0.0;1033.48;2480.0;6781.860000000001;;;;
lintim;SiouxFalls;SiouxFalls;integrated;True;False;0;3600;1;2;20;100;400;-5;-1;0.75;2;20;50;10;10;2;OPTIMAL;37662.836;69.44299983978271;17955.300000000003;16796.128000000004;1159.1720000000007;0.0;4208.336;10139.199999999999;15026.920000000004;22635.916000000005;2288.0;3072.0;5360.0
lintim;SiouxFalls;SiouxFalls;separated;True;False;0;3600;1;2;20;100;400;-5;-1;0.75;2;20;50;10;10;2;OPTIMAL;42861.66;0.44699978828430176;15108.948000000002;14281.502000000004;827.4459999999999;0.0;3736.7119999999995;7959.999999999999;12229.440000000002;30632.22;7224.0;8832.0;16056.0
lintim;SiouxFalls;SiouxFalls;one_stage;True;False;0;3600;1;2;20;100;400;-5;-1;0.75;2;20;50;10;10;2;OPTIMAL;12229.440000000002;0.437999963760376;6460.160000000002;6229.260000000002;230.90000000000003;0.0;1761.28;4007.9999999999995;12229.440000000002;;;;
lintim;SiouxFalls;SiouxFalls;integrated;True;False;0;3600;1;2;20;100;400;-5;-1;0.75;2;30;50;10;10;2;OPTIMAL;45500.49999999738;118.59700012207031;22146.151999997383;21012.856000000007;1133.295999997378;0.0;5254.347999999999;11636.0;17947.43;27553.069999997384;3391.9999999999995;3072.0;6464.0
lintim;SiouxFalls;SiouxFalls;separated;True;False;0;3600;1;2;20;100;400;-5;-1;0.75;2;30;50;10;10;2;OPTIMAL;49495.68799724635;0.7209999561309814;20894.912000000004;19662.704;1232.208000000001;0.0;5096.775997246347;9152.0;15988.390000000003;33507.29799724635;8208.0;6144.0;14352.0
lintim;SiouxFalls;SiouxFalls;one_stage;True;False;0;3600;1;2;20;100;400;-5;-1;0.75;2;30;50;10;10;2;OPTIMAL;15988.390000000003;0.7070000171661377;9161.350000000002;8768.170000000002;393.1800000000004;0.0;2371.04;4456.0;15988.390000000003;;;;
lintim;SiouxFalls;SiouxFalls;integrated;True;False;0;3600;1;2;20;100;400;-5;-1;0.75;2;40;50;10;10;2;OPTIMAL;54997.36799999998;175.71399998664856;26845.727999999996;25659.924;1185.8040000000005;0.0;6524.439999999994;13195.199999999999;22121.40000000001;32875.967999999986;2288.0;6144.0;8432.0
