source;network;scenario_line_data;procedure;optimize_lines;routing_agg;eliminate_subtours;line_repl_allowed;waiting_time_frequency;gap;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;num_od;train_capacity;infrastructure_capacity;max_frequency;num_scenarios;cost_repl_freq;cost_repl_line;repl_budget;bypass_multiplier;status_code;status;objective;runtime_s;cost_time;cost_wait;cost_oper;obj_stage1;obj_stage2_exp;repl_cost_freq_exp;repl_cost_path_exp;repl_cost_exp
lintim;SiouxFalls;SiouxFalls;integrated;False;True;True;False;False;0;1;2;50;10;50;12;8;2;100;500;-5;0;2;OPTIMAL;24442.509999999995;55.948999881744385;5044.065999999999;1398.8439999999996;10213.2;4000.0;20442.509999999995;3946.4;3840.0;7786.4
lintim;SiouxFalls;SiouxFalls;separated;False;True;True;False;False;0;1;2;50;10;50;12;8;2;100;500;-5;0;2;OPTIMAL;28244.31;0.031000137329101562;4845.842;1374.868;6221.2;0.0;28244.31;11962.400000000001;3840.0;15802.400000000001
