source;network;scenario_line_data;procedure;routing_agg;waiting_time_frequency;gap;time_limit;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;cost_repl_freq;cost_repl_line;repl_budget;bypass_multiplier;overdemand_threshold;overdemand_multiplier;num_od;train_capacity;infrastructure_capacity;max_frequency;status_code;status;objective;runtime_s;cost_time;cost_time_base;cost_time_over;cost_bypass;cost_wait;cost_oper;obj_stage1;obj_stage2_exp;repl_cost_freq_exp;repl_cost_path_exp;repl_cost_exp
lintim;SiouxFalls;SiouxFalls;one_stage;True;False;0;3600;1;2;20;3;12;-5;-1;0.75;2;100;50;10;10;2;OPTIMAL;41557.770000000004;6.144999980926514;27088.05;26418.23;669.8199999999997;0.0;5936.520000000002;8533.2;41557.770000000004;;;;
lintim;SiouxFalls;SiouxFalls;one_stage;True;False;0;3600;1;2;20;1;4;-5;-1;0.75;2;100;50;10;10;2;OPTIMAL;41557.770000000004;4.459000110626221;27088.05;26418.23;669.8199999999997;0.0;5936.520000000002;8533.2;41557.770000000004;;;;
lintim;SiouxFalls;SiouxFalls;separated;True;False;0;3600;1;2;20;10;40;-5;-1;0.75;2;100;50;10;10;2;OPTIMAL;90288.568;2.7679998874664307;57358.63999999999;55870.225999999995;1488.4140000000002;0.0;12107.048000000003;17537.200000000004;41557.770000000004;48730.797999999995;716.24;2569.4399999999996;3285.6799999999994
lintim;SiouxFalls;SiouxFalls;one_stage;True;False;0;3600;1;2;20;10;40;-5;-1;0.75;2;100;50;10;10;2;OPTIMAL;41557.770000000004;23.151000022888184;27088.05;26418.23;669.8199999999997;0.0;5936.520000000002;8533.2;41557.770000000004;;;;
lintim;SiouxFalls;SiouxFalls;separated;True;False;0;3600;1;2;20;3;12;-5;-1;0.75;2;100;50;10;10;2;OPTIMAL;87728.97599999489;5.796000003814697;57327.027999996586;55842.633999996586;1484.3939999999989;0.0;11908.323999998298;17364.4;41557.770000000004;46171.20599999488;175.992;953.2320000000001;1129.2240000000002
lintim;SiouxFalls;SiouxFalls;separated;True;False;0;3600;1;2;20;30;120;-5;-1;0.75;2;100;50;10;10;2;OPTIMAL;96088.68799999611;76.60800004005432;58224.90799999677;56089.52599999688;2135.381999999895;0.0;12356.17999999933;17418.88;41557.770000000004;54530.917999996105;2789.5200000000004;5299.2;8088.72
lintim;SiouxFalls;SiouxFalls;one_stage;True;False;0;3600;1;2;20;30;120;-5;-1;0.75;2;100;50;10;10;2;OPTIMAL;41557.770000000004;41.365999937057495;27088.05;26418.23;669.8199999999997;0.0;5936.520000000002;8533.2;41557.770000000004;;;;
lintim;SiouxFalls;SiouxFalls;integrated;True;False;0;3600;1;2;20;1;4;-5;-1;0.75;2;100;50;10;10;9;TIME_LIMIT;90280.38199999997;3604.4759998321533;57950.27799999999;56504.72799999999;1445.5500000000006;0.0;12624.652000000002;18551.32;41611.999999999985;48668.382000000005;245.06800000000004;909.0640000000001;1154.132
lintim;SiouxFalls;SiouxFalls;integrated;True;False;0;3600;1;2;20;3;12;-5;-1;0.75;2;100;50;10;10;9;TIME_LIMIT;88692.82600000029;3614.8040001392365;57631.14600000024;55730.60600000027;1900.5399999999727;0.0;12043.35200000004;17357.600000000006;41642.07999999999;47050.7460000003;472.34399999999994;1188.384;1660.728
lintim;SiouxFalls;SiouxFalls;integrated;True;False;0;3600;1;2;20;10;40;-5;-1;0.75;2;100;50;10;10;9;TIME_LIMIT;90696.99399999999;3612.1040000915527;57351.59799999999;55890.70999999999;1460.887999999998;0.0;12001.516;17979.960000000003;41676.77999999999;49020.213999999956;427.99999999999994;2935.9199999999996;3363.9199999999996
lintim;SiouxFalls;SiouxFalls;one_stage;True;False;0;3600;1;2;20;100;400;-5;-1;0.75;2;100;50;10;10;2;OPTIMAL;41557.770000000004;40.32699990272522;27088.05;26418.23;669.8199999999997;0.0;5936.520000000002;8533.2;41557.770000000004;;;;
lintim;SiouxFalls;SiouxFalls;separated;True;False;0;3600;1;2;20;100;400;-5;-1;0.75;2;100;50;10;10;2;OPTIMAL;113936.40800000001;42.47200012207031;59040.132;56674.469999999994;2365.6619999999994;0.0;12665.716000000004;17433.760000000002;41557.770000000004;72378.638;12508.8;12288.0;24796.8
lintim;SiouxFalls;SiouxFalls;one_stage;True;False;0;3600;1;2;20;300;1200;-5;-1;0.75;2;100;50;10;10;2;OPTIMAL;41557.770000000004;72.77499985694885;27088.05;26418.23;669.8199999999997;0.0;5936.520000000002;8533.2;41557.770000000004;;;;
lintim;SiouxFalls;SiouxFalls;separated;True;False;0;3600;1;2;20;300;1200;-5;-1;0.75;2;100;50;10;10;2;OPTIMAL;163530.00800000003;38.06599998474121;59029.143999999986;56674.46999999999;2354.6739999999995;0.0;12676.704000000003;17433.760000000002;41557.770000000004;121972.23800000001;37526.4;36864.0;74390.4
lintim;SiouxFalls;SiouxFalls;integrated;True;False;0;3600;1;2;20;30;120;-5;-1;0.75;2;100;50;10;10;9;TIME_LIMIT;98691.61599999998;3613.1689999103546;57654.53199999998;56637.43199999997;1017.1;0.0;12181.884000000002;19648.8;42235.55999999998;56456.055999999975;2985.6;6220.8;9206.4
lintim;SiouxFalls;SiouxFalls;one_stage;True;False;0;3600;1;2;20;1000;4000;-5;-1;0.75;2;100;50;10;10;2;OPTIMAL;41557.770000000004;72.55599999427795;27088.05;26418.23;669.8199999999997;0.0;5936.520000000002;8533.2;41557.770000000004;;;;
lintim;SiouxFalls;SiouxFalls;separated;True;False;0;3600;1;2;20;1000;4000;-5;-1;0.75;2;100;50;10;10;2;OPTIMAL;334432.79799999995;77.77900004386902;61472.186;57880.016;3592.17;0.0;12631.012000000002;17409.600000000002;41557.770000000004;292875.02799999993;150760.0;92160.0;242920.0
lintim;SiouxFalls;SiouxFalls;separated;True;False;0;3600;1;2;20;1;4;-5;-1;0.75;2;100;50;10;10;2;OPTIMAL;88258.01000001392;5.641999959945679;57993.570000013046;56334.56200001949;1659.007999993552;0.0;12187.120000000878;17359.36;41557.770000000004;46700.24000001392;183.62399999999997;534.3359999999999;717.9599999999998
lintim;SiouxFalls;SiouxFalls;separated;True;False;0;3600;1;2;20;100;400;10000;-1;0.75;2;100;50;10;10;2;OPTIMAL;113936.40800000001;60.63100004196167;59040.132;56674.469999999994;2365.6619999999994;0.0;12665.716000000004;17433.760000000002;41557.770000000004;72378.638;12508.8;12288.0;24796.8
lintim;SiouxFalls;SiouxFalls;one_stage;True;False;0;3600;1;2;20;100;400;10000;-1;0.75;2;100;50;10;10;2;OPTIMAL;41557.770000000004;123.25100016593933;27088.05;26418.23;669.8199999999997;0.0;5936.520000000002;8533.2;41557.770000000004;;;;
lintim;SiouxFalls;SiouxFalls;integrated;True;False;0;3600;1;2;20;100;400;-5;-1;0.75;2;100;50;10;10;9;TIME_LIMIT;109609.70800000019;3611.209000110626;61229.17600000015;59099.57400000015;2129.602;0.0;13287.73200000004;24132.799999999996;45635.359999999986;63974.34800000017;7887.999999999999;3072.0;10960.0
lintim;SiouxFalls;SiouxFalls;one_stage;True;False;0;3600;1;2;20;100;400;3000;-1;0.75;2;100;50;10;10;2;OPTIMAL;41557.770000000004;89.95199990272522;27088.05;26418.23;669.8199999999997;0.0;5936.520000000002;8533.2;41557.770000000004;;;;
lintim;SiouxFalls;SiouxFalls;integrated;True;False;0;3600;1;2;20;300;1200;-5;-1;0.75;2;100;50;10;10;9;TIME_LIMIT;151701.50799999997;3605.800999879837;67346.12;63549.51599999999;3796.603999999999;0.0;13541.108;25701.47999999999;49349.18999999997;102352.31799999994;14160.0;30952.8;45112.8
lintim;SiouxFalls;SiouxFalls;integrated;True;False;0;3600;1;2;20;1000;4000;-5;-1;0.75;2;100;50;10;10;9;TIME_LIMIT;222084.74599999998;3621.9809999465942;70027.022;64814.25;5212.772000000004;0.0;13839.003999999997;24514.719999999994;51491.94000000001;170592.80599999998;82984.0;30720.0;113704.0
lintim;SiouxFalls;SiouxFalls;separated;True;False;0;3600;1;2;20;100;400;3000;-1;0.75;2;100;50;10;10;2;OPTIMAL;113936.40800000001;92.16199994087219;59040.132;56674.469999999994;2365.6619999999994;0.0;12665.716000000004;17433.760000000002;41557.770000000004;72378.638;12508.8;12288.0;24796.8
lintim;SiouxFalls;SiouxFalls;one_stage;True;False;0;3600;1;2;20;100;400;1000;-1;0.75;2;100;50;10;10;2;OPTIMAL;41557.770000000004;61.77799987792969;27088.05;26418.23;669.8199999999997;0.0;5936.520000000002;8533.2;41557.770000000004;;;;
lintim;SiouxFalls;SiouxFalls;separated;True;False;0;3600;1;2;20;100;400;1000;-1;0.75;2;100;50;10;10;2;OPTIMAL;113936.40800000001;60.532999992370605;59040.132;56674.469999999994;2365.6619999999994;0.0;12665.716000000004;17433.760000000002;41557.770000000004;72378.638;12508.8;12288.0;24796.8
lintim;SiouxFalls;SiouxFalls;one_stage;True;False;0;3600;1;2;20;100;400;300;-1;0.75;2;100;50;10;10;2;OPTIMAL;41557.770000000004;79.02300000190735;27088.05;26418.23;669.8199999999997;0.0;5936.520000000002;8533.2;41557.770000000004;;;;
