line;group;nominal;scenario 1;scenario 2
prob;;;0.4;0.6
objective;;26637.15000000002;31254.339999999993;36148.49000000001
cost_time;;26119.59000000002;30532.259999999995;35222.210000000014
cost_wait;;0.0;0.0;0.0
cost_oper;;517.5600000000001;545.8200000000002;612.72
cost_repl;;;176.26;313.56
0;1;5;0.0;5.0
1;1;5;0.0;5.0
2;2;5;5.0;0.0
3;2;5;5.0;0.0
4;3;2;4.0;2.0
5;3;2;4.0;2.0
6;4;5;5.0;5.0
7;4;5;5.0;5.0
8;5;1;1.0;2.0
9;5;1;1.0;2.0
10;6;2;2.0;2.0
11;6;2;2.0;2.0
12;7;0;0.0;2.0
13;7;0;0.0;2.0
14;8;0;3.0;0.0
15;8;0;3.0;0.0
16;9;4;4.0;5.0
17;9;4;4.0;5.0
18;10;0;0.0;0.0
19;10;0;0.0;0.0
20;11;1;1.0;2.0
21;11;1;1.0;2.0
22;12;1;1.0;4.0
23;12;1;1.0;4.0
24;13;1;1.0;0.0
25;13;1;1.0;0.0
26;14;2;3.0;4.0
27;14;2;3.0;4.0
