line;group;nominal;scenario 1;scenario 2
prob;;;0.4;0.6
objective;;26608.680000000008;31283.07999999983;36264.48995422118
cost_time;;26160.72000000001;30544.19999999983;35222.210000000014
cost_wait;;0.0;0.0;0.0
cost_oper;;447.9600000000001;516.62;602.3199771249243
cost_repl;;;222.26;439.95997709625766
0;1;4;0.0;5.0
1;1;4;0.0;5.0
2;2;5;5.0;0.0
3;2;5;5.0;0.0
4;3;1;4.0;2.0
5;3;1;4.0;2.0
6;4;4;5.0;4.0
7;4;4;5.0;4.0
8;5;1;1.0;3.0
9;5;1;1.0;3.0
10;6;2;2.0;2.0
11;6;2;2.0;2.0
12;7;0;0.0;2.0
13;7;0;0.0;2.0
14;8;1;3.0;0.0
15;8;1;3.0;0.0
16;9;3;4.0;5.0
17;9;3;4.0;5.0
18;10;1;0.0;0.0
19;10;1;0.0;0.0
20;11;1;1.0;2.0
21;11;1;1.0;2.0
22;12;0;0.0;4.0
23;12;0;0.0;4.0
24;13;1;1.0;0.0
25;13;1;1.0;0.0
26;14;2;3.0;4.0
27;14;2;3.0;4.0
