source;network;scenario_line_data;procedure;optimize_lines;routing_agg;eliminate_subtours;line_repl_allowed;waiting_time_frequency;gap;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;num_od;train_capacity;infrastructure_capacity;max_frequency;num_scenarios;cost_repl_freq;cost_repl_line;repl_budget;status;objective;cost_time;cost_wait;cost_oper;runtime_s;obj_stage1;obj_stage2_exp;repl_cost_exp
lintim;SiouxFalls;SiouxFalls;separated;False;True;True;False;True;0;1;10;50;10;50;12;8;2;1;1000;-5;ERROR;;;;;0.333;;;
lintim;SiouxFalls;SiouxFalls;integrated;False;True;True;False;True;0;1;10;50;10;50;12;8;2;1;1000;-5;ERROR;;;;;0.639;;;
lintim;SiouxFalls;SiouxFalls;separated;False;True;True;False;True;0;1;10;50;20;50;12;8;2;1;1000;-5;ERROR;;;;;0.263;;;
lintim;SiouxFalls;SiouxFalls;integrated;False;True;True;False;True;0;1;10;50;20;50;12;8;2;1;1000;-5;ERROR;;;;;0.719;;;
lintim;SiouxFalls;SiouxFalls;separated;False;True;True;False;True;0;1;10;50;30;50;12;8;2;1;1000;-5;ERROR;;;;;0.318;;;
lintim;SiouxFalls;SiouxFalls;integrated;False;True;True;False;True;0;1;10;50;30;50;12;8;2;1;1000;-5;ERROR;;;;;0.861;;;
lintim;SiouxFalls;SiouxFalls;separated;False;True;True;False;True;0;1;10;50;40;50;12;8;2;1;1000;-5;ERROR;;;;;0.323;;;
lintim;SiouxFalls;SiouxFalls;integrated;False;True;True;False;True;0;1;10;50;40;50;12;8;2;1;1000;-5;ERROR;;;;;0.967;;;
lintim;SiouxFalls;SiouxFalls;separated;False;True;True;False;True;0;1;10;50;50;50;12;8;2;1;1000;-5;ERROR;;;;;0.34;;;
lintim;SiouxFalls;SiouxFalls;integrated;False;True;True;False;True;0;1;10;50;50;50;12;8;2;1;1000;-5;ERROR;;;;;1.092;;;
lintim;SiouxFalls;SiouxFalls;separated;False;True;True;False;True;0;1;10;50;60;50;12;8;2;1;1000;-5;ERROR;;;;;0.376;;;
lintim;SiouxFalls;SiouxFalls;integrated;False;True;True;False;True;0;1;10;50;60;50;12;8;2;1;1000;-5;ERROR;;;;;1.043;;;
lintim;SiouxFalls;SiouxFalls;separated;False;True;True;False;True;0;1;10;50;70;50;12;8;2;1;1000;-5;ERROR;;;;;0.404;;;
lintim;SiouxFalls;SiouxFalls;integrated;False;True;True;False;True;0;1;10;50;70;50;12;8;2;1;1000;-5;ERROR;;;;;1.157;;;
lintim;SiouxFalls;SiouxFalls;separated;False;True;True;False;True;0;1;10;50;80;50;12;8;2;1;1000;-5;ERROR;;;;;0.369;;;
lintim;SiouxFalls;SiouxFalls;integrated;False;True;True;False;True;0;1;10;50;80;50;12;8;2;1;1000;-5;ERROR;;;;;1.04;;;
lintim;SiouxFalls;SiouxFalls;separated;False;True;True;False;True;0;1;10;50;90;50;12;8;2;1;1000;-5;ERROR;;;;;0.382;;;
lintim;SiouxFalls;SiouxFalls;integrated;False;True;True;False;True;0;1;10;50;90;50;12;8;2;1;1000;-5;ERROR;;;;;1.096;;;
lintim;SiouxFalls;SiouxFalls;separated;False;True;True;False;True;0;1;10;50;100;50;12;8;2;1;1000;-5;ERROR;;;;;0.366;;;
lintim;SiouxFalls;SiouxFalls;integrated;False;True;True;False;True;0;1;10;50;100;50;12;8;2;1;1000;-5;ERROR;;;;;1.11;;;
