source;network;scenario_line_data;procedure;optimize_lines;routing_agg;eliminate_subtours;line_repl_allowed;waiting_time_frequency;gap;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;num_od;train_capacity;infrastructure_capacity;max_frequency;num_scenarios;cost_repl_freq;cost_repl_line;repl_budget;bypass_multiplier;overdemand_threshold;overdemand_multiplier;status_code;status;objective;runtime_s;cost_time;cost_time_base;cost_time_over;cost_bypass;cost_wait;cost_oper;obj_stage1;obj_stage2_exp;repl_cost_freq_exp;repl_cost_path_exp;repl_cost_exp
lintim;Cross;Cross;integrated;False;True;True;False;False;0;1;2;50;10;10;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;2212;0.06099987;408;408;0;0;204;1600;1106;1106;0;0;0
lintim;Cross;Cross;separated;False;True;True;False;False;0;1;2;50;10;10;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;3332;0.003999949;244.8;244.8;0;0;367.2;1760;1106;2226;960;0;960
lintim;Cross;Cross;integrated;False;True;True;False;False;0;1;2;50;10;20;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;2212;0.036000013;408;408;0;0;204;1600;1106;1106;0;0;0
lintim;Cross;Cross;separated;False;True;True;False;False;0;1;2;50;10;20;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;3332;0.003999949;244.8;244.8;0;0;367.2;1760;1106;2226;960;0;960
lintim;Cross;Cross;integrated;False;True;True;False;False;0;1;2;50;10;30;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;2212;0.034999847;408;408;0;0;204;1600;1106;1106;0;0;0
lintim;Cross;Cross;separated;False;True;True;False;False;0;1;2;50;10;30;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;3332;0.004000187;244.8;244.8;0;0;367.2;1760;1106;2226;960;0;960
lintim;Cross;Cross;integrated;False;True;True;False;False;0;1;2;50;10;40;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;2220;0.027999878;416;408;8;0;204;1600;1110;1110;0;0;0
lintim;Cross;Cross;separated;False;True;True;False;False;0;1;2;50;10;40;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;3336.8;0.006000042;249.6;244.8;4.8;0;367.2;1760;1108;2228.8;960;0;960
lintim;Cross;Cross;integrated;False;True;True;False;False;0;1;2;50;10;50;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;2212;0.028999805;408;408;0;0;204;1600;1106;1106;0;0;0
lintim;Cross;Cross;separated;False;True;True;False;False;0;1;2;50;10;50;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;3332;0.006999969;244.8;244.8;0;0;367.2;1760;1106;2226;960;0;960
lintim;Cross;Cross;integrated;False;True;True;False;False;0;1;2;50;10;10;12;8;2;100;500;-5;-1;0.8;2;2;OPTIMAL;2212;0.06099987;408;408;0;0;204;1600;1106;1106;0;0;0
lintim;Cross;Cross;separated;False;True;True;False;False;0;1;2;50;10;10;12;8;2;100;500;-5;-1;0.8;2;2;OPTIMAL;3332;0.003999949;244.8;244.8;0;0;367.2;1760;1106;2226;960;0;960
lintim;Cross;Cross;integrated;False;True;True;False;False;0;1;2;50;10;20;12;8;2;100;500;-5;-1;0.8;2;2;OPTIMAL;2212;0.036000013;408;408;0;0;204;1600;1106;1106;0;0;0
lintim;Cross;Cross;separated;False;True;True;False;False;0;1;2;50;10;20;12;8;2;100;500;-5;-1;0.8;2;2;OPTIMAL;3332;0.003999949;244.8;244.8;0;0;367.2;1760;1106;2226;960;0;960
lintim;Cross;Cross;integrated;False;True;True;False;False;0;1;2;50;10;30;12;8;2;100;500;-5;-1;0.8;2;2;OPTIMAL;2212;0.034999847;408;408;0;0;204;1600;1106;1106;0;0;0
lintim;Cross;Cross;separated;False;True;True;False;False;0;1;2;50;10;30;12;8;2;100;500;-5;-1;0.8;2;2;OPTIMAL;3332;0.004000187;244.8;244.8;0;0;367.2;1760;1106;2226;960;0;960
lintim;Cross;Cross;integrated;False;True;True;False;False;0;1;2;50;10;40;12;8;2;100;500;-5;-1;0.8;2;2;OPTIMAL;2220;0.027999878;416;408;8;0;204;1600;1110;1110;0;0;0
lintim;Cross;Cross;separated;False;True;True;False;False;0;1;2;50;10;40;12;8;2;100;500;-5;-1;0.8;2;2;OPTIMAL;3336.8;0.006000042;249.6;244.8;4.8;0;367.2;1760;1108;2228.8;960;0;960
lintim;Cross;Cross;integrated;False;True;True;False;False;0;1;2;50;10;50;12;8;2;100;500;-5;-1;0.8;2;2;OPTIMAL;2212;0.028999805;408;408;0;0;204;1600;1106;1106;0;0;0
lintim;Cross;Cross;separated;False;True;True;False;False;0;1;2;50;10;50;12;8;2;100;500;-5;-1;0.8;2;2;OPTIMAL;3332;0.006999969;244.8;244.8;0;0;367.2;1760;1106;2226;960;0;960
