line;group;nominal;scenario 1;scenario 2
prob;;;0.4;0.6
objective;;51863.649999999994;64437.96;86248.55
cost_time;;26491.629999999997;29808.05999999999;32500.350000000002
cost_wait;;5999.0199999999995;6436.900000000002;7221.200000000001
cost_oper;;19373.0;17953.0;18410.999999999996
cost_repl;;;10240.0;28116.0
0;1;4;1.0;4.0
1;1;4;1.0;4.0
2;2;5;5.0;2.0
3;2;5;5.0;2.0
4;3;1;1.0;1.0
5;3;1;1.0;1.0
6;4;4;4.0;4.0
7;4;4;4.0;4.0
8;5;2;2.0;2.0
9;5;2;2.0;2.0
10;6;2;2.0;2.0
11;6;2;2.0;2.0
12;7;0;0.0;0.0
13;7;0;0.0;0.0
14;8;0;1.0;0.0
15;8;0;1.0;0.0
16;9;3;3.0;3.0
17;9;3;3.0;3.0
18;10;0;0.0;0.0
19;10;0;0.0;0.0
20;11;0;0.0;1.0
21;11;0;0.0;1.0
22;12;0;0.0;0.0
23;12;0;0.0;0.0
24;13;1;1.0;0.0
25;13;1;1.0;0.0
26;14;1;1.0;3.0
27;14;1;1.0;3.0
