line;group;nominal;scenario 1;scenario 2
prob;;;0.4;0.6
objective;;33132.08;40843.96999986293;46933.45964680905
cost_time;;14768.960000000006;16446.870000000006;18341.760145576343
cost_wait;;3597.12;3831.099999862925;4205.700029213268
cost_oper;;14766.0;13166.0;12926.0
cost_repl;;;7400.0;11459.99947201944
0;1;2;1.0;2.0
1;1;2;1.0;2.0
2;2;3;3.0;1.0
3;2;3;3.0;1.0
4;3;0;0.0;0.0
5;3;0;0.0;0.0
6;4;3;3.0;3.0
7;4;3;3.0;3.0
8;5;2;2.0;2.0
9;5;2;2.0;2.0
10;6;1;1.0;1.0
11;6;1;1.0;1.0
12;7;1;0.0;1.0
13;7;1;0.0;1.0
14;8;0;0.0;0.0
15;8;0;0.0;0.0
16;9;2;2.0;2.0
17;9;2;2.0;2.0
18;10;0;0.0;0.0
19;10;0;0.0;0.0
20;11;0;0.0;0.0
21;11;0;0.0;0.0
22;12;1;1.0;1.0
23;12;1;1.0;1.0
24;13;0;0.0;0.0
25;13;0;0.0;0.0
26;14;2;2.0;2.0
27;14;2;2.0;2.0
