source;network;scenario_line_data;procedure;optimize_lines;routing_agg;eliminate_subtours;line_repl_allowed;waiting_time_frequency;gap;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;num_od;train_capacity;infrastructure_capacity;max_frequency;num_scenarios;cost_repl_freq;cost_repl_line;repl_budget;cand_detour_count;cand_ksp_count;status_code;status;objective;runtime_s;cost_time;cost_wait;cost_oper;obj_stage1;obj_stage2_exp;repl_cost_freq_exp;repl_cost_path_exp;repl_cost_exp
lintim;SiouxFalls;SiouxFalls;separated;False;True;True;False;False;0;1;2;50;10;50;12;8;2;100;500;-5;2;2;;OPTIMAL;31511.769998287673;0.09400010108947754;7217.445998394892;2222.9239998927837;12983.8;10276.969998287705;21234.79999999997;7407.599999999999;1680.0;9087.599999999999
lintim;SiouxFalls;SiouxFalls;integrated;False;True;True;False;False;0;1;2;50;10;50;12;8;2;100;500;-5;2;2;;OPTIMAL;28498.872000000003;20.022000074386597;8391.880000000001;2512.992;15258.0;12980.92;15517.951999999997;2336.0;0.0;2336.0
