network;sweep;n;VSS_RP_mean_pct;VSS_RP_median_pct;EVPI_RP_mean_pct;EVPI_RP_median_pct;RP_median;WS_median;EEV_nom_median;case_k;case_per_run;case_selection;bypass_multiplier;overdemand_threshold;overdemand_multiplier;case_p_fail;cost_repl_freq;cost_repl_line
sf;pfail;30;0.346;0.15;0.701;0.551;144977.0;144143.0;145229.0;1;;;;;;0.3;;
sf;pfail;30;0.43;0.161;0.772;0.591;145165.0;144306.0;145578.0;1;;;;;;0.4;;
sf;pfail;30;0.48;0.225;0.746;0.665;147778.0;145946.0;148771.0;1;;;;;;0.5;;
sf;pfail;30;0.395;0.161;0.656;0.551;145165.0;144306.0;145578.0;1;;;;;;0.6;;
sf;pfail;30;0.429;0.15;0.609;0.511;144988.0;144189.0;145280.0;1;;;;;;0.7;;
sf;pfail;30;0.431;0.161;0.712;0.554;144801.0;144026.0;144931.0;1;;;;;;0.8;;
sf;pfail;30;1.679;1.553;0.218;0.218;150759.0;150435.0;152725.0;1;;;;;;0.9;;
sf;pfail;30;1.865;1.671;0.113;0.11;151143.0;150980.0;153299.0;1;;;;;;0.95;;
sf;pfail;30;0.591;0.54;1.119;1.097;157520.0;155571.0;158403.0;2;;;;;;0.05;;
sf;pfail;30;0.421;0.463;0.938;0.922;154334.0;152641.0;154916.0;2;;;;;;0.1;;
sf;pfail;30;0.52;0.495;0.996;0.922;162234.0;160245.0;163666.0;2;;;;;;0.2;;
sf;pfail;30;0.501;0.463;1.056;1.048;161125.0;159132.0;162407.0;2;;;;;;0.3;;
sf;pfail;30;0.587;0.526;1.058;0.922;162234.0;160245.0;163666.0;2;;;;;;0.4;;
sf;pfail;30;0.545;0.526;1.085;1.048;162906.0;160245.0;163666.0;2;;;;;;0.5;;
sf;pfail;30;0.579;0.505;1.105;1.065;162906.0;160691.0;164541.0;2;;;;;;0.6;;
sf;pfail;30;0.56;0.513;1.037;0.914;157371.0;155401.0;158403.0;2;;;;;;0.7;;
sf;pfail;30;0.481;0.481;0.934;0.922;154334.0;152641.0;154916.0;2;;;;;;0.8;;
sf;pfail;30;2.266;2.225;0.281;0.255;183312.0;182510.0;189241.0;2;;;;;;0.9;;
sf;pfail;30;2.473;2.091;0.088;0.151;166870.0;166453.0;171819.0;2;;;;;;0.95;;
sf;replcost;30;0.014;0.0;0.055;0.029;141793.0;141775.0;141799.0;1;;;;;;;10.0;50.0
sf;replcost;30;0.021;0.0;0.048;0.023;144318.0;144158.0;144404.0;1;;;;;;;10.0;500.0
sf;replcost;30;0.017;0.0;0.036;0.023;146026.0;146026.0;146026.0;1;;;;;;;10.0;5000.0
sf;replcost;30;1.136;0.507;1.209;1.219;144301.0;142532.0;145262.0;1;;;;;;;100.0;50.0
sf;replcost;30;1.683;1.586;1.71;1.827;148419.0;145902.0;150490.0;1;;;;;;;100.0;500.0
sf;replcost;30;2.134;2.287;2.432;2.232;152306.0;148658.0;157975.0;1;;;;;;;100.0;5000.0
sf;replcost;30;20.321;17.447;3.524;3.626;149568.0;144104.0;183135.0;1;;;;;;;1000.0;50.0
sf;replcost;30;16.041;14.753;4.11;3.316;154684.0;146454.0;175635.0;1;;;;;;;1000.0;500.0
sf;replcost;30;21.024;20.696;6.713;6.051;156607.0;146662.0;184171.0;1;;;;;;;1000.0;5000.0
sf;replcost;30;0.015;0.0;0.058;0.03;147326.0;147140.0;147337.0;2;;;;;;;10.0;50.0
sf;replcost;30;0.028;0.0;0.045;0.023;152898.0;152779.0;152898.0;2;;;;;;;10.0;500.0
sf;replcost;30;0.028;0.0;0.037;0.0;166260.0;166260.0;166345.0;2;;;;;;;10.0;5000.0
sf;replcost;30;1.583;0.984;1.854;2.082;155819.0;152777.0;158592.0;2;;;;;;;100.0;50.0
sf;replcost;30;1.959;2.092;2.441;2.432;175477.0;169368.0;179733.0;2;;;;;;;100.0;500.0
sf;replcost;30;2.365;2.284;3.021;2.96;180172.0;174160.0;184439.0;2;;;;;;;100.0;5000.0
sf;replcost;30;28.84;30.019;5.643;5.032;166297.0;155133.0;208448.0;2;;;;;;;1000.0;50.0
sf;replcost;30;25.137;29.299;6.745;6.931;181654.0;166146.0;231739.0;2;;;;;;;1000.0;500.0
sf;replcost;30;24.012;25.571;9.142;9.461;189502.0;169059.0;240284.0;2;;;;;;;1000.0;5000.0
mumford0;main;30;0.473;0.0;0.512;0.0;112556.0;111879.0;112944.0;1;1.0;line_all;;;;;;
mumford0;main;36;0.462;0.0;0.442;0.0;111449.0;110674.0;111846.0;1;1.0;line_consecutive;;;;;;
mumford0;main;30;0.651;0.127;0.673;0.313;111741.0;110897.0;112060.0;1;1.0;random;;;;;;
mumford0;main;30;0.352;0.0;0.406;0.0;114004.0;113812.0;114841.0;1;1.0;share_stop;;;;;;
