line;group;nominal_freq;nominal_path;scenario 1_freq;scenario 1_path;scenario 2_freq;scenario 2_path
prob;;;;0.4;;0.6;
objective;;1100.0;;2379.999936;;1100.0;
cost_time;;180.0;;200.0;;180.0;
cost_bypass;;0.0;;0.0;;0.0;
cost_wait;;120.0;;100.0;;120.0;
cost_oper;;800.0;;879.9999359999999;;800.0;
cost_repl;;;;1200.0;;0.0;
0;1;1;1,3,4;0.0;1,3,4;1.0;1,3,4
1;1;1;4,3,1;0.0;4,3,1;1.0;4,3,1
2;2;1;2,3,5;1.0;2,3,5;1.0;2,3,5
3;2;1;5,3,2;1.0;5,3,2;1.0;5,3,2
4;3;4;1,2;5.0;1,2;4.0;1,2
5;3;4;2,1;5.0;2,1;4.0;2,1
