line;group;nominal_freq;nominal_path;scenario 1_freq;scenario 1_path;scenario 2_freq;scenario 2_path
prob;;;;0.5;;0.5;
objective;;3206162.5;;3206162.5;;1056245.0;
cost_time;;688082.5;;688082.5;;708795.0;
cost_bypass;;2258500.0;;2258500.0;;0.0;
cost_wait;;167100.0;;167100.0;;168570.0;
cost_oper;;92480.0;;92480.0;;94080.0;
cost_repl;;;;0.0;;84800.0;
0;1;13;2,25,8,11,22;13.0;2,25,8,11,22;10.0;2,25,8,28,11,22
1;1;13;22,11,8,25,2;13.0;22,11,8,25,2;10.0;22,11,28,8,25,2
2;2;18;2,4,12,18,23,1,14;18.0;2,4,12,18,23,1,14;18.0;2,4,12,18,23,1,14
3;2;18;14,1,23,18,12,4,2;18.0;14,1,23,18,12,4,2;18.0;14,1,23,18,12,4,2
4;3;17;9,13,1,29,17,28,30;17.0;9,13,1,29,17,28,30;17.0;9,13,1,29,17,28,30
5;3;17;30,28,17,29,1,13,9;17.0;30,28,17,29,1,13,9;17.0;30,28,17,29,1,13,9
6;4;4;6,7,14,19,20;4.0;6,7,14,19,20;7.0;6,7,14,19,20
7;4;4;20,19,14,7,6;4.0;20,19,14,7,6;7.0;20,19,14,7,6
8;5;13;24,15,12,26;13.0;24,15,12,26;16.0;24,15,12,26
9;5;13;26,12,15,24;13.0;26,12,15,24;16.0;26,12,15,24
10;6;8;3,8,5;8.0;3,8,5;8.0;3,8,5
11;6;8;5,8,3;8.0;5,8,3;8.0;5,8,3
12;7;17;10,15,21;17.0;10,15,21;17.0;10,15,21
13;7;17;21,15,10;17.0;21,15,10;17.0;21,15,10
14;8;0;6,16;0.0;6,16;0.0;6,16
15;8;0;16,6;0.0;16,6;0.0;16,6
16;9;0;9,27;0.0;9,27;0.0;9,27
17;9;0;27,9;0.0;27,9;0.0;27,9
18;10;20;2,15,8,17,7,6;20.0;2,15,8,17,7,6;20.0;2,15,8,17,7,6
19;10;20;6,7,17,8,15,2;20.0;6,7,17,8,15,2;20.0;6,7,17,8,15,2
20;11;12;15,12,18,23,19;12.0;15,12,18,23,19;12.0;15,12,18,23,19
21;11;12;19,23,18,12,15;12.0;19,23,18,12,15;12.0;19,23,18,12,15
22;12;0;3,8,21,24;0.0;3,8,21,24;0.0;3,8,21,24
23;12;0;24,21,8,3;0.0;24,21,8,3;0.0;24,21,8,3
