line;group;nominal_freq;nominal_path
prob;;;
objective;;406.0;
cost_time;;2.0;
cost_wait;;4.0;
cost_oper;;400.0;
cost_repl;;;
0;1;0;1,3,4
1;1;0;4,3,1
2;2;0;2,3,5
3;2;0;5,3,2
4;3;0;1,2
5;3;0;2,1
