line;freq
0;3
1;1
2;5
3;1
4;0
5;0
6;3
7;2
8;1
9;1
10;1
11;1
12;1
13;0
14;0
15;0
16;1
17;0
18;1
19;0
20;0
21;0
22;0
23;0
24;0
25;1
26;0
27;1
