edge_id;edge_len;flow_total;flow_line_0;flow_line_1;flow_line_4;flow_line_6;flow_line_7;flow_line_10;flow_line_11;flow_line_15;flow_line_16;flow_line_27
15;2.0;129.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;129.97;0.0
16;1.2;129.97;0.0;0.0;37.5;0.0;0.0;0.0;0.0;0.0;92.47;0.0
25;2.0;44.49;0.0;0.0;44.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28;1.2;85.47999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;85.47999999999999;0.0
30;1.8;43.30999999999994;0.0;43.30999999999994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
34;2.0;89.83000000000001;89.83000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
36;2.33;36.20999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.20999999999999
39;1.6;44.86000040829299;44.86000040829299;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42;1.6;41.81;0.0;0.0;0.0;0.0;0.0;41.81;0.0;0.0;0.0;0.0
45;2.6;39.07999999999999;0.0;0.0;0.0;0.0;1.5799999999999912;0.0;0.0;37.5;0.0;0.0
48;1.2;54.8;0.0;0.0;0.0;54.8;0.0;0.0;0.0;0.0;0.0;0.0
70;1.8;40.27;0.0;0.0;0.0;0.0;0.0;0.0;40.27;0.0;0.0;0.0
75;1.6;82.08000000000001;0.0;0.0;0.0;0.0;82.08000000000001;0.0;0.0;0.0;0.0;0.0
