edge_id;edge_len;flow_total;flow_line_0;flow_line_1;flow_line_2;flow_line_3;flow_line_4;flow_line_5;flow_line_6;flow_line_7;flow_line_8;flow_line_9;flow_line_10;flow_line_11;flow_line_12;flow_line_13;flow_line_14;flow_line_15;flow_line_16;flow_line_17;flow_line_21;flow_line_22;flow_line_23;flow_line_24;flow_line_25;flow_line_26;flow_line_27
0;5.4;7.1100000000000225;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.1100000000000225;0.0;0.0;0.0;0.0;0.0
1;5.4;6.210000000000008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.210000000000008;0.0;0.0;0.0;0.0
10;1.8;113.09999999997184;0.0;0.0;0.0;0.0;113.09999999997184;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;1.8;107.86999999999978;0.0;0.0;0.0;0.0;0.0;107.86999999999978;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;2.4;262.5000000000101;0.0;0.0;0.0;0.0;0.0;0.0;262.5000000000101;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;2.4;92.55999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;92.55999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;2.0;93.61999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;93.61999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;2.0;187.50000000000705;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;187.50000000000705;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;1.2;253.23999999995095;0.0;0.0;0.0;0.0;91.86999999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;161.369999999951;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;1.2;81.5600000000937;0.0;0.0;0.0;0.0;0.0;19.040000000049563;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.52000000004413;0.0;0.0;0.0;0.0;0.0;0.0;0.0
