line;group;nominal;scenario 1;scenario 2
prob;;;0.4;0.6
objective;;53910.21000000001;64597.139999999985;78018.43000000001
cost_time;;26693.57;30408.679999999986;32744.59000000002
cost_wait;;6138.640000000001;6570.460000000001;7016.839999999999
cost_oper;;21078.000000000004;18738.0;20530.999999999993
cost_repl;;;8880.0;17726.0
0;1;3;1.0;3.0
1;1;3;1.0;3.0
2;2;4;4.0;1.0
3;2;4;4.0;1.0
4;3;1;1.0;1.0
5;3;1;1.0;1.0
6;4;4;4.0;4.0
7;4;4;4.0;4.0
8;5;2;2.0;2.0
9;5;2;2.0;2.0
10;6;2;2.0;2.0
11;6;2;2.0;2.0
12;7;1;0.0;1.0
13;7;1;0.0;1.0
14;8;0;0.0;0.0
15;8;0;0.0;0.0
16;9;3;3.0;3.0
17;9;3;3.0;3.0
18;10;0;0.0;0.0
19;10;0;0.0;0.0
20;11;1;1.0;1.0
21;11;1;1.0;1.0
22;12;1;1.0;2.0
23;12;1;1.0;2.0
24;13;0;0.0;0.0
25;13;0;0.0;0.0
26;14;2;2.0;3.0
27;14;2;2.0;3.0
