line;group;nominal;scenario 1;scenario 2
prob;;;0.4;0.6
objective;;75802.74000000002;97291.81;128340.71
cost_time;;41626.24000000002;45473.87;50209.72999999999
cost_wait;;8903.500000000002;9464.940000000002;10300.98
cost_oper;;25273.0;19993.0;24272.000000000007
cost_repl;;;22360.0;43558.0
0;1;4;1.0;4.0
1;1;4;1.0;4.0
2;2;6;5.0;1.0
3;2;6;5.0;1.0
4;3;3;2.0;2.0
5;3;3;2.0;2.0
6;4;5;4.0;4.0
7;4;5;4.0;4.0
8;5;3;3.0;3.0
9;5;3;3.0;3.0
10;6;3;3.0;4.0
11;6;3;3.0;4.0
12;7;1;1.0;1.0
13;7;1;1.0;1.0
14;8;0;1.0;1.0
15;8;0;1.0;1.0
16;9;2;2.0;2.0
17;9;2;2.0;2.0
18;10;1;0.0;1.0
19;10;1;0.0;1.0
20;11;0;0.0;0.0
21;11;0;0.0;0.0
22;12;0;0.0;2.0
23;12;0;0.0;2.0
24;13;1;1.0;0.0
25;13;1;1.0;0.0
26;14;1;1.0;4.0
27;14;1;1.0;4.0
