source;network;scenario_line_data;procedure;optimize_lines;routing_agg;eliminate_subtours;line_repl_allowed;waiting_time_frequency;gap;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;num_od;train_capacity;infrastructure_capacity;max_frequency;num_scenarios;cost_repl_freq;cost_repl_line;repl_budget;status_code;status;objective;runtime_s;cost_time;cost_wait;cost_oper;obj_stage1;obj_stage2_exp;repl_cost_freq_exp;repl_cost_path_exp;repl_cost_exp
lintim;Cross;Cross;integrated;False;True;True;False;False;0;1;2;50;10;50;12;8;2;100;500;-5;;OPTIMAL;1372.0;0.034999847412109375;4.8;7.2;880.0;406.0;966.0;480.0;0.0;480.0
lintim;Cross;Cross;separated;False;True;True;False;False;0;1;2;50;10;50;12;8;2;100;500;-5;;OPTIMAL;1372.0;0.003000020980834961;4.8;7.2;880.0;406.0;966.0000000000001;480.0;0.0;480.0
lintim;SiouxFalls;SiouxFalls;integrated;False;True;True;False;False;0;1;2;50;10;50;12;8;2;100;500;-5;;OPTIMAL;31184.390000093692;47.61699986457825;8442.225999934068;2476.164000159623;14458.000000000002;12425.93000013606;18758.45999995763;1968.0;3840.0;5808.0
lintim;SiouxFalls;SiouxFalls;separated;False;True;True;False;False;0;1;2;50;10;50;12;8;2;100;500;-5;;OPTIMAL;33105.999998287705;0.09999990463256836;7185.731998394909;2264.6679998927957;13165.2;10276.969998287705;22829.030000000002;6650.4;3840.0;10490.4
