edge_id;edge_len;flow_total;flow_line_0;flow_line_1;flow_line_2;flow_line_3;flow_line_4;flow_line_5;flow_line_6;flow_line_7;flow_line_8;flow_line_9;flow_line_10;flow_line_11;flow_line_14;flow_line_16;flow_line_17;flow_line_20;flow_line_21;flow_line_22;flow_line_23;flow_line_26;flow_line_27
49;1.2;66.89999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;66.89999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50;2.0;74.46999999999987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;74.46999999999987;0.0
51;2.0;34.789999999999864;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.789999999999864;0.0;0.0;0.0;0.0;0.0;0.0
52;1.2;109.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;109.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
53;1.2;31.94;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.94;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54;1.2;50.000000000000135;0.0;0.0;50.000000000000135;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
55;1.2;37.49999999998944;0.0;0.0;0.0;37.49999999998944;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56;2.0;32.279999999989315;32.279999999989315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
57;2.0;184.84999999999988;0.0;184.84999999999988;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
59;1.4;150.00000000002103;0.0;0.0;0.0;50.00000000001057;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.00000000001044;0.0
6;1.6;294.5599999999997;0.0;0.0;0.0;0.0;74.99999999999997;0.0;219.55999999999977;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
61;5.76;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0
63;2.8;50.0;0.0;0.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
64;2.0;39.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
65;2.0;54.459999999999994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.459999999999994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
66;2.56;49.999999999999986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.999999999999986;0.0;0.0;0.0;0.0
70;1.8;82.02999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;82.02999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
72;1.8;84.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;84.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
73;1.8;105.16000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.16000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75;1.6;217.53999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;217.53999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;2.4;28.26000000000012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.26000000000012;0.0;0.0
