edge_id;edge_len;flow_total;flow_line_0;flow_line_1;flow_line_2;flow_line_3;flow_line_4;flow_line_5;flow_line_6;flow_line_7;flow_line_8;flow_line_9;flow_line_10;flow_line_11;flow_line_12;flow_line_13;flow_line_14;flow_line_15;flow_line_16;flow_line_17;flow_line_20;flow_line_21;flow_line_22;flow_line_23;flow_line_24;flow_line_25;flow_line_26;flow_line_27
1;5.4;124.45999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;124.45999999999998;0.0;0.0;0.0;0.0
10;1.8;144.0100000107114;0.0;0.0;0.0;0.0;144.0100000107114;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;1.8;67.52000001616106;0.0;0.0;0.0;0.0;0.0;67.52000001616106;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;2.4;269.9100000073009;0.0;0.0;0.0;0.0;0.0;0.0;269.9100000073009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;2.4;40.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;2.0;66.39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;66.39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;2.0;221.9099999925297;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;221.9099999925297;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;1.2;366.0799999881423;0.0;0.0;0.0;0.0;136.5600000102014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;229.51999997794084;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;1.2;40.76000000000015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.76000000000015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;1.2;50.000000000000014;0.0;0.0;50.000000000000014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;1.2;31.949999999999807;0.0;0.0;0.0;31.949999999999807;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;1.4;296.4799999999999;0.0;0.0;0.0;0.0;0.0;0.0;158.2099999911398;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.770000004656907;0.0;0.0;0.0;0.0;0.0;0.0;112.50000000420322;0.0;0.0;0.0;0.0
20;2.0;96.44000005608495;0.0;0.0;0.0;37.5;0.0;48.019999999999804;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.920000056085144;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;2.0;29.83000000000104;0.0;0.0;0.0;0.0;12.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.63000000000104;0.0;0.0;0.0
22;1.2;49.70000000000104;0.0;0.0;0.0;0.0;12.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.500000000001044;0.0;0.0;0.0
