source;network;scenario_line_data;procedure;optimize_lines;routing_agg;eliminate_subtours;line_repl_allowed;waiting_time_frequency;gap;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;num_od;train_capacity;infrastructure_capacity;max_frequency;num_scenarios;cost_repl_freq;cost_repl_line;repl_budget;cand_detour_count;cand_ksp_count;status_code;status;objective;runtime_s;cost_time;cost_wait;cost_oper;obj_stage1;obj_stage2_exp;repl_cost_freq_exp;repl_cost_path_exp;repl_cost_exp
lintim;SiouxFalls;SiouxFalls;separated;False;True;True;False;False;0;1;2;50;10;50;12;8;2;100;500;-5;2;2;;OPTIMAL;35623.5579982877;0.0989999771118164;7315.8899983949095;2324.6679998927957;14325.0;10276.969998287705;25346.588;11658.0;0.0;11658.0
lintim;SiouxFalls;SiouxFalls;integrated;False;True;True;False;False;0;1;2;50;10;50;12;8;2;100;500;-5;2;2;-1;ERROR;;0.405;;;;;;;;
