line;group;nominal;scenario 1;scenario 2
prob;;;0.4;0.6
objective;;143608.80999999997;163508.97999999998;178110.93999999994
cost_time;;57442.00999999999;63968.45999999999;70816.54
cost_wait;;55693.79999999999;62565.5;66574.09999999998
cost_oper;;609.46;732.4800000000001;802.56
cost_repl;;;351.02;592.3
0;1;3;0.0;8.0
1;1;3;0.0;8.0
2;2;6;6.0;0.0
3;2;6;6.0;0.0
4;3;4;6.0;3.0
5;3;4;6.0;3.0
6;4;5;6.0;5.0
7;4;5;6.0;5.0
8;5;3;4.0;6.0
9;5;3;4.0;6.0
10;6;3;4.0;3.0
11;6;3;4.0;3.0
12;7;2;0.0;2.0
13;7;2;0.0;2.0
14;8;0;2.0;0.0
15;8;0;2.0;0.0
16;9;3;6.0;6.0
17;9;3;6.0;6.0
18;10;2;0.0;0.0
19;10;2;0.0;0.0
20;11;0;1.0;3.0
21;11;0;1.0;3.0
22;12;1;1.0;5.0
23;12;1;1.0;5.0
24;13;2;2.0;0.0
25;13;2;2.0;0.0
26;14;1;4.0;4.0
27;14;1;4.0;4.0
