array_job_id;task_id;run_group_id;case_k;case_per_run;case_variants;case_selection;case_p_fail;case_id;case_sweep_row;case_variant_idx;case_edges;case_lines;WS;RP;EEV_nom;EEV_mean;EVPI;VSS_nom;VSS_mean;procedures_present
12219553;0;g_000;1;1;5;line_consecutive;0.5;1000;0;0;12-13;12;12180.986660428804;12180.986662663356;12180.986665567578;12180.986665989223;2.234552084701136e-06;2.9042221285635605e-06;3.325867510284297e-06;eev,integrated,separated,ws
12219553;1;g_000;1;1;5;line_consecutive;0.5;1001;0;1;20-21;6;13456.186659242663;13456.186650642892;13456.18666567827;13456.186654438863;-8.599770808359608e-06;1.503537714597769e-05;3.795970769715496e-06;eev,integrated,separated,ws
12219553;2;g_000;1;1;5;line_consecutive;0.5;1002;0;2;14-23;4,10;14216.306660424978;14685.876655578948;14998.986664127588;14998.986627547456;469.56999515397;313.1100085486396;313.10997196850803;eev,integrated,separated,ws
12219553;3;g_000;1;1;5;line_consecutive;0.5;1003;0;3;22-23;5;12180.986661799783;12180.986651266589;12180.98666567827;12180.986666892515;-1.0533194654271938e-05;1.4411682059289888e-05;1.562592660775408e-05;eev,integrated,separated,ws
12219553;4;g_000;1;1;5;line_consecutive;0.5;1004;0;4;11-14;4,8,10;14633.116644900674;15102.6866400012;15630.66833234462;15630.6683175511;469.5699951005263;527.9816923434191;527.9816775499003;eev,integrated,separated,ws
12219553;5;g_000;1;1;5;line_consecutive;0.5;1005;1;0;5-6;9;24650.139997118487;24650.139998865096;24650.13999367772;24650.139999570863;1.7466081771999598e-06;-5.187375791138038e-06;7.057678885757923e-07;eev,integrated,separated,ws
12219553;6;g_000;1;1;5;line_consecutive;0.5;1006;1;1;23-24;4;27121.469992041817;28624.734559044016;28699.24207717073;28699.24208304345;1503.264567002199;74.50751812671297;74.50752399943303;eev,integrated,separated,ws
12219553;7;g_000;1;1;5;line_consecutive;0.5;1007;1;2;11-14;4,8,10;31336.86549960852;35177.666662233474;29351.18707596475;29351.18708186379;3840.8011626249536;-5826.479586268724;-5826.479580369683;eev,integrated,separated,ws
12219553;8;g_000;1;1;5;line_consecutive;0.5;1008;1;3;22-23;5;25020.92832577853;25391.71664675662;25922.034160553885;25922.034166871585;370.7883209780921;530.3175137972648;530.3175201149643;eev,integrated,separated,ws
12219553;9;g_000;1;1;5;line_consecutive;0.5;1009;1;4;10-17;14;24650.139997726463;24650.139999703588;24650.139993522345;24650.1399993564;1.977125066332519e-06;-6.181242497405037e-06;-3.4718686947599053e-07;eev,integrated,separated,ws
12219553;10;g_000;1;1;5;line_consecutive;0.5;1010;2;0;16-17;2,13;52263.89315925381;52420.229951858906;46829.05297676002;46829.052965103794;156.33679260509962;-5591.17697509889;-5591.176986755112;eev,integrated,separated,ws
12219553;11;g_000;1;1;5;line_consecutive;0.5;1011;2;1;6-8;2;48234.978482030114;49737.53066536435;48261.78756074678;48261.78753631262;1502.5521833342357;-1475.7431046175698;-1475.743129051727;eev,integrated,separated,ws
12219553;12;g_000;1;1;5;line_consecutive;0.5;1012;2;2;19-20;2;48818.39323156448;53012.133537579095;48602.62923104907;48602.62920661492;4193.740306014617;-4409.504306530027;-4409.504330964177;eev,integrated,separated,ws
12219553;13;g_000;1;1;5;line_consecutive;0.5;1013;2;3;7-8;3,7,11;45507.03074453029;45212.703216150345;40763.17562984669;40763.17561175821;-294.32752837994485;-4449.527586303651;-4449.527604392133;eev,integrated,separated,ws
12219553;14;g_000;1;1;5;line_consecutive;0.5;1014;2;4;21-22;13;40763.17563931235;44849.30054210518;40763.17564417017;40763.17563774322;4086.124902792828;-4086.1248979350057;-4086.124904361961;eev,integrated,separated,ws
12219553;15;g_000;1;1;5;line_consecutive;0.5;1015;3;0;10-15;5,9;60111.90406295947;67375.49289636461;59125.151368960855;59125.1513879289;7263.588833405141;-8250.341527403754;-8250.341508435711;eev,integrated,separated,ws
12219553;16;g_000;1;1;5;line_consecutive;0.5;1016;3;1;23-24;4;63881.62788415672;67164.97908725684;62024.5596407992;62024.559658967686;3283.351203100123;-5140.419446457643;-5140.419428289155;eev,integrated,separated,ws
12219553;17;g_000;1;1;5;line_consecutive;0.5;1017;3;2;5-6;9;56388.19463885671;63283.114823379045;57840.12797903722;57840.127872087774;6894.920184522336;-5442.986844341824;-5442.98695129127;eev,integrated,separated,ws
12219553;18;g_000;1;1;5;line_consecutive;0.5;1018;3;3;7-18;3,11;57461.6147416476;62853.28406305596;56099.47797919996;56099.47798897848;5391.669321408357;-6753.806083855998;-6753.806074077482;eev,integrated,separated,ws
12219553;19;g_000;1;1;5;line_consecutive;0.5;1019;3;4;18-20;11;56206.97344896365;58796.1916435118;56099.47798043832;56099.47798937091;2589.2181945481498;-2696.713663073475;-2696.713654140884;eev,integrated,separated,ws
12219553;20;g_000;1;1;5;line_consecutive;0.5;1020;4;0;10-11;1,7,10;124481.1288328021;435869.578822902;82684.57799149898;82684.57796801836;311388.4499900999;-353185.000831403;-353185.00085488363;eev,integrated,separated,ws
12219553;21;g_000;1;1;5;line_consecutive;0.5;1021;4;1;10-16;1,10;78174.74737365262;87081.8952154837;81041.43052208945;81041.43048328857;8907.147841831087;-6040.464693394257;-6040.464732195134;eev,integrated,separated,ws
12219553;22;g_000;1;1;5;line_consecutive;0.5;1022;4;2;9-10;7,9;76489.2152843686;84297.33390982627;75560.49567866264;75560.49567737893;7808.1186254576605;-8736.838231163623;-8736.838232447335;eev,integrated,separated,ws
