edge_id;edge_len;flow_total;flow_line_0;flow_line_1;flow_line_2;flow_line_3;flow_line_6;flow_line_7;flow_line_8;flow_line_9;flow_line_10;flow_line_11;flow_line_16;flow_line_17
12;2.4;33.57;0.0;0.0;0.0;0.0;33.57;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;2.0;92.86;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;92.86;0.0
16;1.2;92.86;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;92.86;0.0
18;1.2;100.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;1.4;33.57;0.0;0.0;0.0;0.0;33.57;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24;2.0;25.65;0.0;0.0;25.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28;1.2;118.50999999999998;0.0;0.0;69.24000000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.26999999999995;0.0
30;1.8;43.31;0.0;43.31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31;1.8;57.94;57.94;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
34;2.0;218.71000000000006;119.81000000000002;0.0;98.90000000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
39;1.6;102.8;102.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;1.4;62.89;0.0;0.0;62.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42;1.6;41.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.81;0.0;0.0;0.0
45;2.6;39.08;0.0;0.0;0.0;0.0;0.0;39.08;0.0;0.0;0.0;0.0;0.0;0.0
48;1.2;83.03999999999999;0.0;0.0;0.0;0.0;83.03999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0
51;2.0;13.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.65
52;1.2;13.65;0.0;0.0;0.0;0.0;0.0;0.0;13.65;0.0;0.0;0.0;0.0;0.0
54;1.2;65.87000000000006;0.0;0.0;65.87000000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
57;2.0;33.34;0.0;33.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
59;1.4;28.79000000000002;0.0;0.0;0.0;28.79000000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;1.6;33.57;0.0;0.0;0.0;0.0;33.57;0.0;0.0;0.0;0.0;0.0;0.0;0.0
63;2.8;42.44;0.0;0.0;0.0;42.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
65;2.0;13.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.65;0.0;0.0;0.0
70;1.8;26.620000000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.620000000000005;0.0;0.0
72;1.8;13.65;0.0;0.0;0.0;0.0;0.0;0.0;13.65;0.0;0.0;0.0;0.0;0.0
73;1.8;28.239999999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.239999999999995;0.0;0.0;0.0;0.0
75;1.6;100.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0
