line;group;nominal;scenario 1;scenario 2
prob;;;0.4;0.6
objective;;17454.38000000017;18753.67999999998;20927.900000001726
cost_time;;6086.980000000085;7386.279999999998;7921.240000000947
cost_wait;;5167.400000000084;5167.399999999981;6022.200000000779
cost_oper;;6200.0;6200.0;6933.000000000001
cost_repl;;;0.0;51.459999999999994
0;1;1;1.0;1.0
1;1;1;1.0;1.0
2;2;3;3.0;2.0
3;2;3;3.0;2.0
4;3;0;0.0;0.0
5;3;0;0.0;0.0
6;4;2;2.0;2.0
7;4;2;2.0;2.0
8;5;0;0.0;0.0
9;5;0;0.0;0.0
10;6;1;1.0;1.0
11;6;1;1.0;1.0
12;7;0;0.0;0.0
13;7;0;0.0;0.0
14;8;0;0.0;0.0
15;8;0;0.0;0.0
16;9;0;0.0;1.0
17;9;0;0.0;1.0
18;10;0;0.0;0.0
19;10;0;0.0;0.0
20;11;0;0.0;0.0
21;11;0;0.0;0.0
22;12;0;0.0;0.0
23;12;0;0.0;0.0
24;13;0;0.0;0.0
25;13;0;0.0;0.0
26;14;0;0.0;1.0
27;14;0;0.0;1.0
