variant;num_od;case_id;runtime_s
freqdep (waiting_freq=True);250;1037;30622.273805856705
freqdep (waiting_freq=True);250;1038;24991.015495300293
freqdep (waiting_freq=True);250;1039;30580.92822575569
freqdep (waiting_freq=True);300;1040;19483.649746894836
freqdep (waiting_freq=True);300;1041;24174.856456518173
freqdep (waiting_freq=True);300;1042;30706.744760274887
freqdep (waiting_freq=True);300;1043;30759.9041121006
freqdep (waiting_freq=True);300;1044;30489.95165991783
freqdep (waiting_freq=True);350;1045;28883.047484874725
freqdep (waiting_freq=True);350;1046;30692.563934326172
freqdep (waiting_freq=True);350;1047;30805.114918231964
freqdep (waiting_freq=True);350;1048;30742.965298891068
freqdep (waiting_freq=True);350;1049;21892.121446847916
freqdep (waiting_freq=True);400;1050;30825.136836767197
freqdep (waiting_freq=True);400;1051;22864.256534814835
freqdep (waiting_freq=True);400;1052;30735.33671784401
freqdep (waiting_freq=True);400;1053;28938.429748535156
freqdep (waiting_freq=True);400;1054;20072.25952744484
freqdep (waiting_freq=True);450;1055;30882.174281835556
freqdep (waiting_freq=True);450;1056;27144.778584718704
freqdep (waiting_freq=True);450;1057;31077.826267957687
freqdep (waiting_freq=True);450;1058;19925.83385014534
freqdep (waiting_freq=True);450;1059;24540.812596082687
freqdep (waiting_freq=True);500;1060;20470.909727811813
freqdep (waiting_freq=True);500;1061;19481.193954229355
freqdep (waiting_freq=True);500;1062;23372.7207403183
freqdep (waiting_freq=True);500;1063;30877.627992868423
freqdep (waiting_freq=True);500;1064;25926.16928267479
freqdep (waiting_freq=True);550;1065;31265.069322824478
freqdep (waiting_freq=True);550;1066;31175.70829129219
freqdep (waiting_freq=True);550;1067;18601.88436293602
freqdep (waiting_freq=True);550;1068;31053.778698921207
freqdep (waiting_freq=True);550;1069;30245.920382261276
