source;network;scenario_line_data;procedure;routing_agg;waiting_time_frequency;gap;time_limit;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;cost_repl_freq;cost_repl_line;repl_budget;bypass_multiplier;overdemand_threshold;overdemand_multiplier;num_od;train_capacity;infrastructure_capacity;max_frequency;threads;scenario_infra_id;scenario_prob_id;case_k;case_per_run;case_variants;case_selection;case_p_fail;case_id;case_sweep_row;case_variant_idx;case_edges;case_lines;run_group_id;status_code;status;objective;runtime_s;opt_gap;cost_time;cost_time_base;cost_time_over;cost_bypass;cost_wait;cost_oper;obj_stage1;obj_stage2_exp;repl_cost_freq_exp;repl_cost_path_exp;repl_cost_exp;variant
lintim;SiouxFalls;SiouxFalls;ws;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;10;50;10;10;16;1004;1004;1;1;5;line_consecutive;0.5;1004;0;4;11-14;4,8,10;g_000;2;OPTIMAL;15936.649999999998;30.40022110939026;0.0;6924.129999999997;6368.779999999999;555.3499999999985;0.0;2084.5199999999995;5168.0;6977.455000000001;8959.194999999996;0.0;1760.0000000000002;1760.0000000000002;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;integrated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;10;50;10;10;16;1004;1004;1;1;5;line_consecutive;0.5;1004;0;4;11-14;4,8,10;g_000;2;OPTIMAL;16327.84000000071;38.640305042266846;0.0;7160.119999999995;6493.579999999996;666.5399999999983;0.0;2103.7200000007133;5304.0;7173.05;9154.79000000071;0.0;1760.0000000000002;1760.0000000000002;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;separated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;10;50;10;10;16;1004;1004;1;1;5;line_consecutive;0.5;1004;0;4;11-14;4,8,10;g_000;2;OPTIMAL;16991.055;14.030529737472534;0.0;6806.135000000001;6306.380000000001;499.755;0.0;2074.92;5100.0;6781.860000000001;10209.195;1250.0;1760.0000000000002;3010.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;eev;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;10;50;10;10;16;1004;1004;1;1;5;line_consecutive;0.5;1004;0;4;11-14;4,8,10;g_000;2;OPTIMAL;16991.055;6.053925037384033;0.0;6806.135000000002;6306.380000000001;499.7550000000002;0.0;2074.92;5100.0;6781.860000000001;10209.195;1250.0;1760.0000000000002;3010.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;ws;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;10;50;10;10;16;1003;1003;1;1;5;line_consecutive;0.5;1003;0;3;22-23;5;g_000;2;OPTIMAL;13563.72;5.271417856216431;0.0;6536.760000000001;6086.9800000000005;449.78;0.0;2066.96;4960.0;6781.860000000001;6781.860000000001;0.0;0.0;0.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;integrated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;10;50;10;10;16;1003;1003;1;1;5;line_consecutive;0.5;1003;0;3;22-23;5;g_000;2;OPTIMAL;13563.719999999355;3.864311933517456;0.0;6536.759999999233;6086.979999998694;449.7800000005378;0.0;2066.9600000001246;4960.0;6781.860000000694;6781.859999998662;0.0;0.0;0.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;separated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;10;50;10;10;16;1003;1003;1;1;5;line_consecutive;0.5;1003;0;3;22-23;5;g_000;2;OPTIMAL;13563.72;0.3485431671142578;0.0;6536.760000000001;6086.9800000000005;449.78;0.0;2066.96;4960.0;6781.860000000001;6781.860000000001;0.0;0.0;0.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;eev;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;10;50;10;10;16;1003;1003;1;1;5;line_consecutive;0.5;1003;0;3;22-23;5;g_000;2;OPTIMAL;13563.72;0.3446540832519531;0.0;6536.760000000001;6086.9800000000005;449.78;0.0;2066.96;4960.0;6781.860000000001;6781.860000000001;0.0;0.0;0.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;ws;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;250;50;10;10;16;1036;1036;1;1;5;line_consecutive;0.5;1036;7;1;20-22;11;g_000;2;OPTIMAL;137899.05999999645;281.41454005241394;9.31405909580592e-06;93156.7399999966;91716.1599999982;1440.5799999983883;0.0;19377.519999999826;25364.800000000003;68949.52999999862;68949.52999999782;0.0;0.0;0.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;integrated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;250;50;10;10;16;1036;1036;1;1;5;line_consecutive;0.5;1036;7;1;20-22;11;g_000;2;OPTIMAL;137899.06;294.0815908908844;0.0;93156.73999999996;91716.15999999996;1440.5799999999824;0.0;19377.52;25364.800000000003;68949.53000000003;68949.53000000001;0.0;0.0;0.0;flat (waiting_freq=False)
