edge_id;edge_len;flow_total;flow_line_0;flow_line_1;flow_line_2;flow_line_3;flow_line_4;flow_line_5;flow_line_6;flow_line_7;flow_line_8;flow_line_9;flow_line_10;flow_line_11;flow_line_12;flow_line_13;flow_line_16;flow_line_17;flow_line_26;flow_line_27
10;1.8;86.11999999999998;0.0;0.0;0.0;0.0;86.11999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;1.8;71.16999999999996;0.0;0.0;0.0;0.0;0.0;71.16999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;2.4;300.0;0.0;0.0;0.0;0.0;0.0;0.0;300.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;2.4;50.85000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.85000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;2.0;65.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;65.43;0.0;0.0
15;2.0;196.37000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;196.37000000000003;0.0;0.0;0.0
16;1.2;286.74000000000007;0.0;0.0;0.0;0.0;90.89999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;195.8400000000001;0.0;0.0;0.0
17;1.2;47.539999999999985;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.539999999999985;0.0;0.0
18;1.2;200.0;0.0;0.0;200.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;1.2;32.91;0.0;0.0;0.0;32.91;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;1.4;172.02;0.0;0.0;0.0;0.0;0.0;0.0;172.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;2.0;48.02000000000004;0.0;0.0;0.0;0.0;0.0;48.02000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;2.0;55.129999999999995;0.0;0.0;0.0;0.0;55.129999999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;1.2;74.99999999999996;0.0;0.0;0.0;0.0;74.99999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;1.2;37.69;0.0;0.0;0.0;0.0;0.0;37.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24;2.0;126.65;0.0;0.0;100.35;0.0;0.0;8.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.24000000000001;0.0;0.0;0.0;0.0
