line;group;nominal;scenario 1;scenario 2
prob;;;0.4;0.6
objective;;13939.189999999968;17495.170000000002;20943.13
cost_time;;13644.529999999968;17076.79;20078.950000000008
cost_wait;;0.0;0.0;0.0
cost_oper;;294.65999999999997;309.32;453.81999999999994
cost_repl;;;109.06;410.36000000000007
0;1;2;0.0;5.0
1;1;2;0.0;5.0
2;2;5;5.0;0.0
3;2;5;5.0;0.0
4;3;1;2.0;1.0
5;3;1;2.0;1.0
6;4;3;3.0;3.0
7;4;3;3.0;3.0
8;5;1;2.0;2.0
9;5;1;2.0;2.0
10;6;1;1.0;1.0
11;6;1;1.0;1.0
12;7;0;0.0;2.0
13;7;0;0.0;2.0
14;8;1;2.0;0.0
15;8;1;2.0;0.0
16;9;1;1.0;4.0
17;9;1;1.0;4.0
18;10;1;0.0;0.0
19;10;1;0.0;0.0
20;11;0;0.0;1.0
21;11;0;0.0;1.0
22;12;0;0.0;3.0
23;12;0;0.0;3.0
24;13;0;0.0;0.0
25;13;0;0.0;0.0
26;14;1;2.0;3.0
27;14;1;2.0;3.0
