source;network;scenario_line_data;procedure;routing_agg;waiting_time_frequency;gap;time_limit;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;cost_repl_freq;cost_repl_line;repl_budget;bypass_multiplier;overdemand_threshold;overdemand_multiplier;num_od;train_capacity;infrastructure_capacity;max_frequency;scenario_infra_id;scenario_prob_id;run_group_id;status_code;status;objective;runtime_s;opt_gap;cost_time;cost_time_base;cost_time_over;cost_bypass;cost_wait;cost_oper;obj_stage1;obj_stage2_exp;repl_cost_freq_exp;repl_cost_path_exp;repl_cost_exp
lintim;SiouxFalls;SiouxFalls;ws;True;False;1e-05;6000;1;2;20;50;200;-5;-1;0.75;2;55;50;10;10;1;1;g_000;2;OPTIMAL;61903.365999999856;261.3931722640991;0.0;35120.453999999896;33652.50999999989;1467.9440000000059;0.0;8299.711999999963;14267.200000000003;27468.585999999857;34434.78;1144.0;3072.0;4216.0
lintim;SiouxFalls;SiouxFalls;integrated;True;False;1e-05;6000;1;2;20;50;200;-5;-1;0.75;2;55;50;10;10;1;1;g_000;2;OPTIMAL;63863.422;955.4987769126892;0.0;34994.570000000014;33392.57200000001;1601.9980000000005;0.0;8251.252;13857.599999999999;26920.729999999996;36942.691999999995;2152.0;4608.0;6760.0
lintim;SiouxFalls;SiouxFalls;separated;True;False;1e-05;6000;1;2;20;50;200;-5;-1;0.75;2;55;50;10;10;1;1;g_000;2;OPTIMAL;66901.56600000235;164.58274936676025;5.719439253514394e-14;34725.334000002054;33118.87200000168;1606.4620000003833;0.0;8005.752000000288;12737.28;25570.120000002345;41331.445999999996;6825.200000000001;4608.0;11433.2
lintim;SiouxFalls;SiouxFalls;eev;True;False;1e-05;6000;1;2;20;50;200;-5;-1;0.75;2;55;50;10;10;1;1;g_000;2;OPTIMAL;64812.73999999999;143.11908316612244;0.0;34931.82;33522.46200000001;1409.3579999999988;0.0;8201.639999999996;13070.079999999998;26198.40000000001;38614.33999999998;4001.2000000000003;4608.0;8609.2
