edge_id;edge_len;flow_total;flow_line_0;flow_line_1;flow_line_2;flow_line_3;flow_line_6;flow_line_7;flow_line_10;flow_line_11;flow_line_16;flow_line_26;flow_line_27
10, 11;1.8;45.390000000001244;0.0;45.390000000001244;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10, 15;2.6;30.5299999999882;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.5299999999882;0.0;0.0
10, 16;2.0;50.000000000004675;50.000000000004675;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10, 17;2.33;12.080000000001242;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0800000000012417;10.0
11, 12;1.6;44.86000000000675;44.86000000000675;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11, 14;2.6;41.16000000001221;0.0;0.0;0.0;0.0;2.0800000000012417;39.08000000001097;0.0;0.0;0.0;0.0;0.0
13, 24;1.6;41.81000000000531;0.0;0.0;0.0;0.0;0.0;0.0;41.81000000000531;0.0;0.0;0.0;0.0
14, 15;1.8;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
14, 23;1.2;66.88000000000125;0.0;0.0;0.0;0.0;66.88000000000125;0.0;0.0;0.0;0.0;0.0;0.0
15, 19;2.0;40.5299999999882;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.5299999999882;0.0;10.0
16, 17;1.2;4.319999999988195;0.0;0.0;0.0;4.319999999988195;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17, 19;1.4;32.60999999998944;0.0;0.0;0.0;32.60999999998944;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19, 20;2.8;12.080000000001242;0.0;0.0;0.0;12.080000000001242;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20, 21;2.0;12.080000000001242;0.0;0.0;0.0;0.0;0.0;0.0;12.080000000001242;0.0;0.0;0.0;0.0
21, 24;1.8;28.18999999999876;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.18999999999876;0.0;0.0;0.0
23, 24;1.6;70.00000000000134;0.0;0.0;0.0;0.0;0.0;70.00000000000134;0.0;0.0;0.0;0.0;0.0
5, 6;2.0;49.969999999989376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.969999999989376;0.0;0.0
5, 9;1.2;49.969999999989376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.969999999989376;0.0;0.0
6, 8;1.2;80.0;0.0;0.0;80.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8, 16;1.2;35.51000000001061;0.0;0.0;35.51000000001061;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9, 10;1.2;49.969999999989376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.969999999989376;0.0;0.0
