source;network;scenario_line_data;procedure;optimize_lines;routing_agg;eliminate_subtours;line_repl_allowed;waiting_time_frequency;gap;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;num_od;train_capacity;infrastructure_capacity;max_frequency;num_scenarios;cost_repl_freq;cost_repl_line;repl_budget;status;objective;cost_time;cost_wait;cost_oper;runtime_s;obj_stage1;obj_stage2_exp;repl_cost_exp
lintim;Cross;Cross;separated;False;True;True;False;False;0;2;10;50;10;50;12;8;2;1;1000;-5;OPTIMAL;767.2;9.6;36.0;720.0;0.010999917984008789;424.0;343.2;1.6
lintim;Cross;Cross;integrated;False;True;True;False;False;0;2;10;50;10;50;12;8;2;1;1000;-5;OPTIMAL;;9.6;36.0;720.0;0.06199979782104492;;;
